,y_label,y_pred
0,square,square
1,square,square
2,square,square
3,square,square
4,square,triangle
5,square,square
6,square,square
7,square,square
8,square,square
9,square,square
10,square,square
11,square,square
12,square,square
13,square,square
14,square,square
15,square,square
16,square,square
17,square,square
18,square,square
19,square,square
20,square,square
21,square,square
22,square,square
23,square,square
24,square,square
25,square,square
26,square,square
27,square,square
28,square,square
29,square,square
30,square,square
31,square,square
32,square,square
33,square,square
34,square,square
35,square,square
36,square,square
37,square,square
38,square,square
39,square,square
40,square,square
41,square,square
42,square,square
43,square,square
44,square,square
45,square,square
46,square,square
47,square,square
48,square,square
49,square,square
50,square,square
51,square,square
52,square,square
53,square,square
54,square,square
55,square,square
56,square,square
57,square,square
58,square,square
59,square,square
60,square,square
61,square,square
62,square,square
63,square,triangle
64,square,square
65,square,triangle
66,square,triangle
67,square,square
68,square,square
69,triangle,triangle
70,triangle,triangle
71,triangle,square
72,triangle,square
73,triangle,square
74,bar,bar
75,bar,bar
